Agent,Wins,Draws,Losses,Points,Win Rate
Neural,17,42,1,38.0,28.33%
Hybrid,5,51,4,30.5,8.33%
Minimax,0,60,0,30.0,0.00%
MCTS,0,43,17,21.5,0.00%
